timestamp,interface,id,data
1747284845.838261,can0,002,01 AA FB D4 F8 68 00 00
1747284845.85675,can0,012,6E
1747284845.871828,can0,002,01 AB FB D4 F8 68 00 00
1747284845.880108,can0,012,7E
1747284845.903394,can0,012,72
1747284845.905508,can0,002,01 AB FB D4 F8 68 00 00
1747284845.926697,can0,012,77
1747284845.939087,can0,002,01 AB FB D4 F8 67 00 00
1747284845.949991,can0,012,72
1747284845.972642,can0,002,01 AB FB D4 F8 67 00 00
1747284845.973259,can0,012,72
1747284845.996628,can0,012,7F
1747284846.006274,can0,002,01 AB FB D4 F8 67 00 00
1747284846.019953,can0,012,77
1747284846.039908,can0,002,01 AB FB D4 F8 67 00 00
1747284846.043231,can0,012,72
1747284846.066542,can0,012,76
1747284846.073525,can0,002,01 AB FB D4 F8 68 00 00
1747284846.089851,can0,012,76
1747284846.107107,can0,002,01 AB FB D4 F8 68 00 00
1747284846.113141,can0,012,73
1747284846.136457,can0,012,72
1747284846.140991,can0,002,01 AB FB D4 F8 68 00 00
1747284846.159738,can0,012,76
1747284846.174732,can0,002,01 AB FB D4 F8 68 00 00
1747284846.183067,can0,012,7A
1747284846.206337,can0,012,6F
1747284846.208386,can0,002,01 AB FB D4 F8 68 00 00
1747284846.229666,can0,012,7B
1747284846.252982,can0,012,76
1747284846.260876,can0,002,01 AB FB D4 F8 68 00 00
1747284846.276291,can0,012,76
1747284846.299557,can0,012,6F
1747284846.301639,can0,002,01 AC FB D4 F8 68 00 00
1747284846.322842,can0,012,73
1747284846.339732,can0,002,01 AB FB D4 F8 68 00 00
1747284846.346154,can0,012,76
1747284846.36946,can0,012,76
1747284846.373292,can0,002,01 AB FB D4 F8 69 00 00
1747284846.392726,can0,012,6F
1747284846.406911,can0,002,01 AB FB D4 F8 69 00 00
1747284846.416056,can0,012,7B
1747284846.439339,can0,012,72
1747284846.440464,can0,002,01 AB FB D4 F8 69 00 00
1747284846.46269,can0,012,7A
1747284846.474032,can0,002,01 AB FB D4 F8 69 00 00
1747284846.485961,can0,012,72
1747284846.50766,can0,002,01 AB FB D4 F8 69 00 00
1747284846.509243,can0,012,73
1747284846.532556,can0,012,76
1747284846.541255,can0,002,01 AB FB D4 F8 69 00 00
1747284846.555847,can0,012,72
1747284846.574866,can0,002,01 AB FB D4 F8 69 00 00
1747284846.579173,can0,012,7A
1747284846.602466,can0,012,73
1747284846.608568,can0,002,01 AB FB D4 F8 6A 00 00
1747284846.625728,can0,012,6E
1747284846.642165,can0,002,01 AB FB D4 F8 6A 00 00
1747284846.649005,can0,012,72
1747284846.672342,can0,012,7A
1747284846.675778,can0,002,01 AB FB D4 F8 6A 00 00
1747284846.695605,can0,012,6F
1747284846.709412,can0,002,01 AC FB D4 F8 6A 00 00
1747284846.71896,can0,012,7A
1747284846.742199,can0,012,6D
1747284846.742988,can0,002,01 AC FB D4 F8 6A 00 00
1747284846.765549,can0,012,7A
1747284846.776483,can0,002,01 AC FB D4 F8 6A 00 00
1747284846.788831,can0,012,73
1747284846.810999,can0,002,01 AC FB D4 F8 6A 00 00
1747284846.812168,can0,012,7A
1747284846.835407,can0,012,6E
1747284846.844492,can0,002,01 AC FB D4 F8 69 00 00
1747284846.858746,can0,012,7A
1747284846.877997,can0,002,01 AC FB D4 F8 69 00 00
1747284846.88207,can0,012,77
1747284846.905383,can0,012,77
1747284846.911542,can0,002,01 AC FB D4 F8 69 00 00
1747284846.92865,can0,012,6E
1747284846.945055,can0,002,01 AC FB D4 F8 69 00 00
1747284846.95198,can0,012,7A
1747284846.975369,can0,012,83
1747284846.97858,can0,002,01 AC FB D4 F8 69 00 00
1747284846.998714,can0,012,7B
1747284847.012097,can0,002,01 AC FB D4 F8 69 00 00
1747284847.021966,can0,012,6E
1747284847.045286,can0,012,7A
1747284847.045725,can0,002,01 AC FB D4 F8 69 00 00
1747284847.068572,can0,012,72
1747284847.079182,can0,002,01 AC FB D4 F8 69 00 00
1747284847.09188,can0,012,73
1747284847.11278,can0,002,01 AC FB D4 F8 68 00 00
1747284847.115166,can0,012,72
1747284847.13848,can0,012,7A
1747284847.146307,can0,002,01 AC FB D4 F8 68 00 00
1747284847.161789,can0,012,72
1747284847.179891,can0,002,01 AD FB D4 F8 68 00 00
1747284847.185056,can0,012,73
1747284847.208322,can0,012,6F
1747284847.223151,can0,002,01 AD FB D4 F8 68 00 00
1747284847.231696,can0,012,7E
1747284847.254937,can0,012,6E
1747284847.278257,can0,012,77
1747284847.280895,can0,002,01 AD FB D4 F8 68 00 00
1747284847.301519,can0,012,6F
1747284847.320228,can0,002,01 AE FB D4 F8 68 00 00
1747284847.324906,can0,012,83
1747284847.34816,can0,012,6E
1747284847.359722,can0,002,01 AD FB D4 F8 68 00 00
1747284847.371496,can0,012,7A
1747284847.394797,can0,012,77
1747284847.399753,can0,002,01 AD FB D4 F8 67 00 00
1747284847.418173,can0,012,7E
1747284847.433223,can0,002,01 AD FB D4 F8 67 00 00
1747284847.441436,can0,012,6E
1747284847.464769,can0,012,7A
1747284847.466731,can0,002,01 AD FB D4 F8 68 00 00
1747284847.488152,can0,012,84
1747284847.500278,can0,002,01 AD FB D4 F8 68 00 00
1747284847.511435,can0,012,73
1747284847.5338,can0,002,01 AD FB D4 F8 68 00 00
1747284847.534722,can0,012,72
1747284847.557984,can0,012,6E
1747284847.567332,can0,002,01 AD FB D4 F8 68 00 00
1747284847.581415,can0,012,87
1747284847.600912,can0,002,01 AD FB D3 F8 68 00 00
1747284847.604654,can0,012,6F
1747284847.628054,can0,012,83
1747284847.634397,can0,002,01 AD FB D4 F8 68 00 00
1747284847.651312,can0,012,6E
1747284847.66801,can0,002,01 AD FB D4 F8 67 00 00
1747284847.674653,can0,012,7A
1747284847.697941,can0,012,77
1747284847.701578,can0,002,01 AD FB D4 F8 67 00 00
1747284847.721246,can0,012,77
1747284847.735135,can0,002,01 AD FB D4 F8 67 00 00
1747284847.744537,can0,012,6D
1747284847.76784,can0,012,76
1747284847.768645,can0,002,01 AD FB D4 F8 66 00 00
1747284847.791186,can0,012,80
1747284847.803157,can0,002,01 AD FB D4 F8 66 00 00
1747284847.814464,can0,012,73
1747284847.836711,can0,002,01 AD FB D4 F8 66 00 00
1747284847.837834,can0,012,7B
1747284847.86115,can0,012,76
1747284847.870209,can0,002,01 AD FB D4 F8 67 00 00
1747284847.884491,can0,012,7F
1747284847.903772,can0,002,01 AD FB D4 F8 68 00 00
1747284847.907745,can0,012,6F
1747284847.931006,can0,012,6E
1747284847.937253,can0,002,01 AD FB D4 F8 68 00 00
1747284847.954286,can0,012,72
1747284847.970751,can0,002,01 AE FB D4 F8 68 00 00
1747284847.977719,can0,012,87
1747284848.000978,can0,012,6F
1747284848.004288,can0,002,01 AE FB D4 F8 68 00 00
1747284848.024316,can0,012,7E
1747284848.03786,can0,002,01 AE FB D4 F8 67 00 00
1747284848.047574,can0,012,6E
1747284848.070941,can0,012,7E
1747284848.071362,can0,002,01 AE FB D4 F8 66 00 00
1747284848.094222,can0,012,72
1747284848.104906,can0,002,01 AE FB D4 F8 66 00 00
1747284848.117533,can0,012,77
1747284848.138419,can0,002,01 AE FB D4 F8 66 00 00
1747284848.140797,can0,012,6E
1747284848.164103,can0,012,76
1747284848.171987,can0,002,01 AE FB D4 F8 66 00 00
1747284848.187512,can0,012,87
